password,length,has_lower,has_upper,has_digit,has_symbol,unique_ratio,longest_run,has_year_like,has_common_word,has_keyboard_walk,has_sequential_digits,entropy_bits,strength_score,label
lwL=aLfjs9rN,12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
3X1FwbjGJ4RD,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
letmein4291,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
letmein,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
Sara2019@,9,1,1,1,1,0.8889,1,1,0,0,0,58.991,48.991,Medium
(zvj:^X5AA4sWO3^z5v,19,1,1,1,1,0.7368,2,0,0,0,0,124.537,124.537,Strong
KOiYVT{iPi8|,12,1,1,1,1,0.8333,1,0,0,0,0,78.655,78.655,Strong
Sara2018!,9,1,1,1,1,0.8889,1,1,0,0,0,58.991,48.991,Medium
oNum!rl%%q,10,1,1,0,1,0.9,2,0,0,0,0,63.923,63.923,Medium
welcome4194,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
maya2008@,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
dragon7192,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
oZjs2IOrr4q,11,1,1,1,0,0.9091,2,0,0,0,0,65.496,65.496,Medium
admin7339,9,1,0,1,0,0.8889,2,0,1,0,0,46.529,28.529,Weak
wvqY6HacwDVl,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
+.GN{Dg+_%uzz1,14,1,1,1,1,0.8571,2,0,0,0,0,91.764,91.764,Strong
dragon2997,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
password6805,12,1,0,1,0,0.9167,2,0,1,0,0,62.039,44.039,Medium
iloveyou4696,12,1,0,1,0,0.8333,1,0,1,0,0,62.039,44.039,Medium
=$f6%4q.liC.,12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
FO1dtdl0ZkFq,12,1,1,1,0,0.8333,1,0,0,0,0,71.45,71.45,Strong
bgD$/u{VVCW.Ck7,15,1,1,1,1,0.8667,2,0,0,0,0,98.319,98.319,Strong
c8oJTIvCC,9,1,1,1,0,0.8889,2,0,0,0,0,53.588,53.588,Medium
iloveyou3344,12,1,0,1,0,0.75,2,0,1,0,0,62.039,44.039,Medium
iloveyou,8,1,0,0,0,0.875,1,0,1,0,0,37.604,19.604,Weak
qwerty9246,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
ahmed2014#,10,1,0,1,1,1.0,1,1,0,0,0,60.875,50.875,Medium
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
f^mcPFQrn3wq+0Tqu,17,1,1,1,1,0.9412,1,0,0,0,0,111.428,111.428,Strong
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
Adam200912,10,1,1,1,0,0.8,2,1,0,0,0,59.542,49.542,Medium
qwerty8511,10,1,0,1,0,0.9,2,0,1,1,0,51.699,25.699,Weak
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
5dylu2nAYUe2,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
letmein8500,11,1,0,1,0,0.8182,2,0,1,0,0,56.869,38.869,Medium
Adam2021123,11,1,1,1,0,0.7273,2,1,0,0,0,65.496,55.496,Medium
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
z.ub5;YxU9BlX]V,15,1,1,1,1,1.0,1,0,0,0,0,98.319,98.319,Strong
sara2025@,9,1,0,1,1,0.7778,1,1,0,0,0,54.787,44.787,Medium
ewIPjYbNfb5,11,1,1,1,0,0.9091,1,0,0,0,0,65.496,65.496,Medium
iloveyou5363,12,1,0,1,0,0.8333,1,0,1,0,0,62.039,44.039,Medium
letmein7829,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
welcome7378,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
"jS%{yZP8K,%R$Z%",15,1,1,1,1,0.8,1,0,0,0,0,98.319,98.319,Strong
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
4tooIZDS3j,10,1,1,1,0,0.9,2,0,0,0,0,59.542,59.542,Medium
GnGs=B+{/nk+1#1,15,1,1,1,1,0.7333,1,0,0,0,0,98.319,98.319,Strong
1234563902,10,0,0,1,0,0.8,1,0,1,1,1,33.219,0.0,Weak
adam20081,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
7vz-Kt$k,8,1,1,1,1,1.0,1,0,0,0,0,52.437,52.437,Medium
Adam201312,10,1,1,1,0,0.8,1,1,0,0,0,59.542,49.542,Medium
jdC^bmwm_rG4,12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
Maya2002,8,1,1,1,0,0.625,2,1,0,0,0,47.634,37.634,Medium
lina202612,10,1,0,1,0,0.8,1,1,0,0,0,51.699,41.699,Medium
zDujDt^Af0,10,1,1,1,1,0.9,1,0,0,0,0,65.546,65.546,Medium
fhOlPXA=CUpE,12,1,1,0,1,1.0,1,0,0,0,0,76.708,76.708,Strong
]]N_rfiyy.gANt8,15,1,1,1,1,0.8,2,0,0,0,0,98.319,98.319,Strong
lina19961,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
abc1236058,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
football8997,12,1,0,1,0,0.75,2,0,1,0,0,62.039,44.039,Medium
Omar2013@,9,1,1,1,1,1.0,1,1,0,0,0,58.991,48.991,Medium
Ahmed2003!,10,1,1,1,1,0.9,2,1,0,0,0,65.546,55.546,Medium
lina2005,8,1,0,1,0,0.875,2,1,0,0,0,41.359,31.359,Weak
maya2009#,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
Omar2005!,9,1,1,1,1,0.8889,2,1,0,0,0,58.991,48.991,Medium
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
"JEwh,2pltp6b",12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
qwerty6896,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
letmein3098,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
n.5N=f{4(u90]*m9,16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
sjdPUVZF,8,1,1,0,0,1.0,1,0,0,0,0,45.604,45.604,Medium
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
t8ixhcSJfBv,11,1,1,1,0,1.0,1,0,0,0,0,65.496,65.496,Medium
CeeKz440EqQF,12,1,1,1,0,0.8333,2,0,0,0,0,71.45,71.45,Strong
RBkXs?7{9f3W_{[VSkR,19,1,1,1,1,0.8421,1,0,0,0,0,124.537,124.537,Strong
t_t3tL6Q,8,1,1,1,1,0.75,1,0,0,0,0,52.437,52.437,Medium
iloveyou,8,1,0,0,0,0.875,1,0,1,0,0,37.604,19.604,Weak
akJ8NtAgSsZx,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
admin,5,1,0,0,0,1.0,1,0,1,0,0,23.502,5.502,Weak
RO-V$B+/^tlS4c=U:1N,19,1,1,1,1,1.0,1,0,0,0,0,124.537,124.537,Strong
Sara2012#,9,1,1,1,1,0.7778,1,1,0,0,0,58.991,48.991,Medium
password5267,12,1,0,1,0,0.9167,2,0,1,0,0,62.039,44.039,Medium
0MJC9N9b-#,10,1,1,1,1,0.9,1,0,0,0,0,65.546,65.546,Medium
*(A$/I-m2-!pU4Ys)=,18,1,1,1,1,0.9444,1,0,0,0,0,117.983,117.983,Strong
password4090,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
football,8,1,0,0,0,0.75,2,0,1,0,0,37.604,19.604,Weak
TzYqDZF0J8Jd,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
Maya2017123,11,1,1,1,0,0.7273,1,1,0,0,0,65.496,55.496,Medium
Noor2019!,9,1,1,1,1,0.8889,2,1,0,0,0,58.991,48.991,Medium
oEfugclJO,9,1,1,0,0,1.0,1,0,0,0,0,51.304,51.304,Medium
iloveyou4867,12,1,0,1,0,0.9167,1,0,1,0,0,62.039,44.039,Medium
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
123456784972,12,0,0,1,0,0.75,1,0,1,1,1,39.863,5.863,Weak
iloveyou,8,1,0,0,0,0.875,1,0,1,0,0,37.604,19.604,Weak
ahmed201012,11,1,0,1,0,0.7273,1,1,0,0,0,56.869,46.869,Medium
Maya1993,8,1,1,1,0,0.75,2,1,0,0,0,47.634,37.634,Medium
Sara2022@,9,1,1,1,1,0.6667,2,1,0,0,0,58.991,48.991,Medium
Lina2011@,9,1,1,1,1,0.8889,2,1,0,0,0,58.991,48.991,Medium
&o5V7aol=,9,1,1,1,1,0.8889,1,0,0,0,0,58.991,58.991,Medium
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
"[M-,fTlV%K%%#qV#ix2",19,1,1,1,1,0.7895,2,0,0,0,0,124.537,124.537,Strong
"P#p,jJn3$_ReZS",14,1,1,1,1,1.0,1,0,0,0,0,91.764,91.764,Strong
nDw&RlQVr_7H;q%,15,1,1,1,1,1.0,1,0,0,0,0,98.319,98.319,Strong
noor2019,8,1,0,1,0,0.875,2,1,0,0,0,41.359,31.359,Weak
yyW)t(5^h(_6d@,14,1,1,1,1,0.8571,2,0,0,0,0,91.764,91.764,Strong
6dv57iLfUF,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
Ahmed2024#,10,1,1,1,1,0.9,1,1,0,0,0,65.546,55.546,Medium
zLY0OJqYUmh,11,1,1,1,0,0.9091,1,0,0,0,0,65.496,65.496,Medium
abc123,6,1,0,1,0,1.0,1,0,1,0,0,31.02,13.02,Weak
2yZ0QaPqpzAH,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
Lina2021,8,1,1,1,0,0.875,1,1,0,0,0,47.634,37.634,Medium
admin6943,9,1,0,1,0,1.0,1,0,1,0,0,46.529,28.529,Weak
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
omar200112,10,1,0,1,0,0.7,2,1,0,0,0,51.699,41.699,Medium
NYkb*5O+%Yd,11,1,1,1,1,0.9091,1,0,0,0,0,72.1,72.1,Strong
adam20051,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
password9592,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
"r/I$E8QlYgYi,;Kf?BPk",20,1,1,1,1,0.95,1,0,0,0,0,131.092,131.092,Strong
Lina2018!,9,1,1,1,1,1.0,1,1,0,0,0,58.991,48.991,Medium
xirHotIm5Q,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
abc1236564,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
qwerty9740,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
=tJbnC%R[)3H1^K%b#,18,1,1,1,1,0.8889,1,0,0,0,0,117.983,117.983,Strong
i71jI7ktGE,10,1,1,1,0,0.9,1,0,0,0,0,59.542,59.542,Medium
qwerty6754,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
",vO[}Q,QkmJeW%Igb|a7",20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
noor19961,9,1,0,1,0,0.6667,2,1,0,0,0,46.529,36.529,Medium
e?nin3s%xgSVYJ,14,1,1,1,1,0.9286,1,0,0,0,0,91.764,91.764,Strong
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
P08RRDaVV,9,1,1,1,0,0.7778,2,0,0,0,0,53.588,53.588,Medium
eM{swmbQ0i?um[/:_-9,19,1,1,1,1,0.9474,1,0,0,0,0,124.537,124.537,Strong
G!h4&*AUL,9,1,1,1,1,1.0,1,0,0,0,0,58.991,58.991,Medium
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
12345678,8,0,0,1,0,1.0,1,0,1,1,1,26.575,0.0,Weak
123456786663,12,0,0,1,0,0.6667,3,0,1,1,1,39.863,0.0,Weak
+b9enMBaV*,10,1,1,1,1,1.0,1,0,0,0,0,65.546,65.546,Medium
1234564545,10,0,0,1,0,0.6,1,0,1,1,1,33.219,0.0,Weak
123456,6,0,0,1,0,1.0,1,0,1,1,1,19.932,0.0,Weak
"tNez2dpx8,^x6",13,1,1,1,1,0.9231,1,0,0,0,0,85.21,85.21,Strong
123456741,9,0,0,1,0,0.7778,1,0,1,1,1,29.897,0.0,Weak
bqZEP2(*6=VRu+=m,16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
iloveyou9791,12,1,0,1,0,0.8333,1,0,1,0,0,62.039,44.039,Medium
adam2020,8,1,0,1,0,0.625,1,1,0,0,0,41.359,31.359,Weak
qwerty9070,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
RscXZdf2,8,1,1,1,0,1.0,1,0,0,0,0,47.634,47.634,Medium
Omar2018#,9,1,1,1,1,1.0,1,1,0,0,0,58.991,48.991,Medium
dragon6153,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
Maya1999#,9,1,1,1,1,0.6667,3,1,0,0,0,58.991,42.991,Medium
abc1237366,10,1,0,1,0,0.8,2,0,1,0,0,51.699,33.699,Weak
GZKB7GkE3o,10,1,1,1,0,0.9,1,0,0,0,0,59.542,59.542,Medium
9f4rK3xQ}]-!-%_2,16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
Adam1998123,11,1,1,1,0,0.8182,2,1,0,0,0,65.496,55.496,Medium
9r$qDXb%ER,10,1,1,1,1,1.0,1,0,0,0,0,65.546,65.546,Medium
B=k[]%1r.99dr)@,15,1,1,1,1,0.8667,2,0,0,0,0,98.319,98.319,Strong
letmein,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
lpXgYmfRZ,9,1,1,0,0,1.0,1,0,0,0,0,51.304,51.304,Medium
noor20261,9,1,0,1,0,0.7778,2,1,0,0,0,46.529,36.529,Medium
qwerty5737,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
qwerty1723,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
-WLX*N;3!n]K6nMD,16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
1o!vIaOF=G65,12,1,1,1,1,1.0,1,0,0,0,0,78.655,78.655,Strong
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
football,8,1,0,0,0,0.75,2,0,1,0,0,37.604,19.604,Weak
omar2003@,9,1,0,1,1,0.8889,2,1,0,0,0,54.787,44.787,Medium
omar202412,10,1,0,1,0,0.8,1,1,0,0,0,51.699,41.699,Medium
mohamed2011!,12,1,0,1,1,0.8333,2,1,0,0,0,73.05,63.05,Medium
9nnq59eya,9,1,0,1,0,0.7778,2,0,0,0,0,46.529,46.529,Medium
iloveyou0829,12,1,0,1,0,0.9167,1,0,1,0,0,62.039,44.039,Medium
lina1992,8,1,0,1,0,0.875,2,1,0,0,0,41.359,31.359,Weak
admin2787,9,1,0,1,0,0.8889,1,0,1,0,0,46.529,28.529,Weak
abc1235444,10,1,0,1,0,0.8,3,0,1,0,0,51.699,27.699,Weak
2WXpApkq,8,1,1,1,0,0.875,1,0,0,0,0,47.634,47.634,Medium
VrS83vDfxLBW,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
mohamed20081,12,1,0,1,0,0.8333,2,1,0,0,0,62.039,52.039,Medium
abc1236565,10,1,0,1,0,0.8,1,0,1,0,0,51.699,33.699,Weak
maya2001#,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
"nk*OXEb1_g0|3,kymxo",19,1,1,1,1,0.9474,1,0,0,0,0,124.537,124.537,Strong
HD8qAOy2Hpug,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
yK2oj=rY,8,1,1,1,1,1.0,1,0,0,0,0,52.437,52.437,Medium
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
"%,st)Daa+IXCM^k(1",17,1,1,1,1,0.9412,2,0,0,0,0,111.428,111.428,Strong
O-.?2l3|(=:kI_f((,17,1,1,1,1,0.8824,2,0,0,0,0,111.428,111.428,Strong
sara1994!,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
dragon2857,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
adam200212,10,1,0,1,0,0.6,2,1,0,0,0,51.699,41.699,Medium
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
Adam2012123,11,1,1,1,0,0.7273,1,1,0,0,0,65.496,55.496,Medium
admin2518,9,1,0,1,0,1.0,1,0,1,0,0,46.529,28.529,Weak
Lina199012,10,1,1,1,0,0.8,2,1,0,0,0,59.542,49.542,Medium
Lina2014#,9,1,1,1,1,1.0,1,1,0,0,0,58.991,48.991,Medium
2651N4JGT,9,0,1,1,0,1.0,1,0,0,0,0,46.529,46.529,Medium
tN9QezYwH2,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
"=iJLoW^WcSxT4C,|",16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
bBf%A#}sHI-hb[iO2,17,1,1,1,1,0.9412,1,0,0,0,0,111.428,111.428,Strong
letmein,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
12345678070,11,0,0,1,0,0.8182,1,0,1,1,1,36.541,2.541,Weak
letmein5756,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
dragon,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
"_;gs,V@y?V-6;u*h",16,1,1,1,1,0.875,1,0,0,0,0,104.873,104.873,Strong
iloveyou4830,12,1,0,1,0,0.9167,1,0,1,0,0,62.039,44.039,Medium
iwgytZLNGEql,12,1,1,0,0,1.0,1,0,0,0,0,68.405,68.405,Medium
ahmed199412,11,1,0,1,0,0.8182,2,1,0,0,0,56.869,46.869,Medium
sara2004123,11,1,0,1,0,0.7273,2,1,0,0,0,56.869,46.869,Medium
%6_$gZ30TOsH%)UCe,17,1,1,1,1,0.9412,1,0,0,0,0,111.428,111.428,Strong
iloveyou7006,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
ahmed2006123,12,1,0,1,0,0.8333,2,1,0,0,0,62.039,52.039,Medium
"g}VBWS,38z@x",12,1,1,1,1,1.0,1,0,0,0,0,78.655,78.655,Strong
X2FyeT8iX,9,1,1,1,0,0.8889,1,0,0,0,0,53.588,53.588,Medium
Omar2007,8,1,1,1,0,0.875,2,1,0,0,0,47.634,37.634,Medium
maya2016,8,1,0,1,0,0.875,1,1,0,0,0,41.359,31.359,Weak
]c)$@9O@&!zV=IL0EI,18,1,1,1,1,0.8889,1,0,0,0,0,117.983,117.983,Strong
dragon3774,10,1,0,1,0,0.9,2,0,1,0,0,51.699,33.699,Weak
adam1999,8,1,0,1,0,0.625,3,1,0,0,0,41.359,25.359,Weak
t!CQ[.WPTt^_$fgk6,17,1,1,1,1,0.9412,1,0,0,0,0,111.428,111.428,Strong
Adam2015123,11,1,1,1,0,0.8182,1,1,0,0,0,65.496,55.496,Medium
mohamed2010#,12,1,0,1,1,0.8333,1,1,0,0,0,73.05,63.05,Medium
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
Lina2026!,9,1,1,1,1,0.8889,1,1,0,0,0,58.991,48.991,Medium
noor201912,10,1,0,1,0,0.7,2,1,0,0,0,51.699,41.699,Medium
ahmed1992123,12,1,0,1,0,0.75,2,1,0,0,0,62.039,52.039,Medium
v5AmE7r1Qjr^,12,1,1,1,1,0.9167,1,0,0,0,0,78.655,78.655,Strong
noor1998@,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
dragon1385,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
n40BNY4C,8,1,1,1,0,0.875,1,0,0,0,0,47.634,47.634,Medium
Omar2006123,11,1,1,1,0,0.8182,2,1,0,0,0,65.496,55.496,Medium
[u/fSeBn)w9EW-?/,16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
n]m297kd^YY+J5,14,1,1,1,1,0.9286,2,0,0,0,0,91.764,91.764,Strong
diJmLi5D91Ig,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
wRlEWGB58KaO,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
dragon5652,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
VAV9Dfye,8,1,1,1,0,0.875,1,0,0,0,0,47.634,47.634,Medium
password1992,12,1,0,1,0,0.8333,2,1,1,0,0,62.039,34.039,Weak
welcome5758,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
$GVps4iaV?B/#&AN{|*,19,1,1,1,1,0.9474,1,0,0,0,0,124.537,124.537,Strong
noor202412,10,1,0,1,0,0.7,2,1,0,0,0,51.699,41.699,Medium
X84%c#3_,8,1,1,1,1,1.0,1,0,0,0,0,52.437,52.437,Medium
iloveyou9442,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
Sara2005!,9,1,1,1,1,0.7778,2,1,0,0,0,58.991,48.991,Medium
mohamed20191,12,1,0,1,0,0.8333,1,1,0,0,0,62.039,52.039,Medium
"kh|,uhA!&3Hop*{L5I8",19,1,1,1,1,0.9474,1,0,0,0,0,124.537,124.537,Strong
monkey8630,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
omar2024#,9,1,0,1,1,0.8889,1,1,0,0,0,54.787,44.787,Medium
Maya2025!,9,1,1,1,1,0.7778,1,1,0,0,0,58.991,48.991,Medium
Noor199512,10,1,1,1,0,0.7,2,1,0,0,0,59.542,49.542,Medium
lina1994123,11,1,0,1,0,0.8182,2,1,0,0,0,56.869,46.869,Medium
welcome,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
mohamed2011123,14,1,0,1,0,0.7143,3,1,0,0,0,72.379,56.379,Medium
aJyZmrnPpXBK,12,1,1,0,0,1.0,1,0,0,0,0,68.405,68.405,Medium
dragon8943,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
mWaG856MH2fV,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
mohamed1997123,14,1,0,1,0,0.7857,2,1,0,0,0,72.379,62.379,Medium
dragon2348,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
LEg;08LiY!oqE=^,15,1,1,1,1,0.8667,1,0,0,0,0,98.319,98.319,Strong
mohamed200312,13,1,0,1,0,0.7692,2,1,0,0,0,67.209,57.209,Medium
yHIEGNMFYlYr,12,1,1,0,0,0.9167,1,0,0,0,0,68.405,68.405,Medium
welcome3468,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
U1E7mc$+4y,10,1,1,1,1,1.0,1,0,0,0,0,65.546,65.546,Medium
admin,5,1,0,0,0,1.0,1,0,1,0,0,23.502,5.502,Weak
:/b&QsL@j+VDSA7,15,1,1,1,1,1.0,1,0,0,0,0,98.319,98.319,Strong
Sara19971,9,1,1,1,0,0.6667,2,1,0,0,0,53.588,43.588,Medium
maya2008@,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
0GqGoKKZTWE,11,1,1,1,0,0.8182,2,0,0,0,0,65.496,65.496,Medium
qwerty2001,10,1,0,1,0,0.9,2,1,1,1,0,51.699,15.699,Weak
dragon,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
sara2026#,9,1,0,1,1,0.7778,1,1,0,0,0,54.787,44.787,Medium
d5eirFh7d,9,1,1,1,0,0.8889,1,0,0,0,0,53.588,53.588,Medium
C$EBCkku,8,1,1,0,1,0.75,2,0,0,0,0,51.139,51.139,Medium
Noor201912,10,1,1,1,0,0.7,2,1,0,0,0,59.542,49.542,Medium
123456787014,12,0,0,1,0,0.75,1,0,1,1,1,39.863,5.863,Weak
P7tjGlmFBzo,11,1,1,1,0,1.0,1,0,0,0,0,65.496,65.496,Medium
Maya1995!,9,1,1,1,1,0.7778,2,1,0,0,0,58.991,48.991,Medium
9ns:A!&0(_GCz)y2H/,18,1,1,1,1,1.0,1,0,0,0,0,117.983,117.983,Strong
Omar2024!,9,1,1,1,1,0.8889,1,1,0,0,0,58.991,48.991,Medium
m1YmJ+%8md,10,1,1,1,1,0.8,1,0,0,0,0,65.546,65.546,Medium
sara20171,9,1,0,1,0,0.7778,1,1,0,0,0,46.529,36.529,Medium
123456785701,12,0,0,1,0,0.75,1,0,1,1,1,39.863,5.863,Weak
abc1231764,10,1,0,1,0,0.9,1,0,1,0,0,51.699,33.699,Weak
"WEsRsV$#$U,$qis?0",17,1,1,1,1,0.7647,1,0,0,0,0,111.428,111.428,Strong
qwerty4098,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
VdMIDpfomg,10,1,1,0,0,1.0,1,0,0,0,0,57.004,57.004,Medium
v9AXSJaLy,9,1,1,1,0,1.0,1,0,0,0,0,53.588,53.588,Medium
abc1233878,10,1,0,1,0,0.8,2,0,1,0,0,51.699,33.699,Weak
V;/S8ak?7v8$TB+^,16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
R@B3IpGr&ZK,11,1,1,1,1,1.0,1,0,0,0,0,72.1,72.1,Strong
XfbfQkLb,8,1,1,0,0,0.75,1,0,0,0,0,45.604,45.604,Medium
|kd4_1.FWY]ara,14,1,1,1,1,0.9286,1,0,0,0,0,91.764,91.764,Strong
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
^unwTr-ST,9,1,1,0,1,0.8889,1,0,0,0,0,57.531,57.531,Medium
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
qwerty2176,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
iIVvuRTYP,9,1,1,0,0,1.0,1,0,0,0,0,51.304,51.304,Medium
19{XzguDT+%%|YahhacJ,20,1,1,1,1,0.85,2,0,0,0,0,131.092,131.092,Strong
sMmRh61TuBzO,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
Mohamed1996#,12,1,1,1,1,0.9167,2,1,0,0,0,78.655,68.655,Medium
ahmed2015123,12,1,0,1,0,0.8333,1,1,0,0,0,62.039,52.039,Medium
Sr5em.t9Jaos[,13,1,1,1,1,1.0,1,0,0,0,0,85.21,85.21,Strong
:71IrI[OM!0@k-trM6,18,1,1,1,1,0.8333,1,0,0,0,0,117.983,117.983,Strong
